dataset,challenge,balance_class,process_approach,imputation,patient_group,drug_group,train_test_rate,remove_low_DAS,random_state,model_id,MAE,MSE,RMSE,R2,Pearson_Correlation,Accuracy,F1-Score
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.375,0.3703703703703704
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4166666666666667,0.4257703081232493
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4583333333333333,0.4523809523809524
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.21739130434782608,0.20634920634920637
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.43478260869565216,0.4236874236874237
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.43478260869565216,0.42063492063492064
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.43478260869565216,0.42483660130718953
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4782608695652174,0.4723646723646724
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.5416666666666666,0.487037037037037
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.5,0.4666666666666666
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.3333333333333333,0.3089133089133089
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4583333333333333,0.4446693657219973
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.375,0.3148148148148148
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.43478260869565216,0.42782446311858074
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.391304347826087,0.34432234432234426
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4782608695652174,0.4556938159879336
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.30434782608695654,0.28703703703703703
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.30434782608695654,0.22519509476031216
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.2916666666666667,0.2870915032679739
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4166666666666667,0.40940170940170945
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.3333333333333333,0.3140173666489456
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.375,0.3637566137566138
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4583333333333333,0.4229446164430684
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.5217391304347826,0.5168091168091168
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.34782608695652173,0.3511904761904762
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.30434782608695654,0.29776021080368903
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.5217391304347826,0.5185185185185186
validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.391304347826087,0.39166666666666666
test,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,,,,,,0.4161849710982659,0.3900847803418415
test,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Deep Learning,,,,,,0.4161849710982659,0.3900847803418415
test,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,SVM,,,,,,0.4161849710982659,0.3900847803418415
